Year,id_cells,MAT,bio4,MAP,bio15
1900,1,24.96333333,170.6449229,108.6783333,1.218084411
1901,1,24.25,193.041274,102.415,1.32951761
1902,1,24.17166667,172.7076224,110.6533333,1.190411719
1903,1,23.87833333,163.2199592,97.04833333,1.247842724
1904,1,23.36333333,124.2843017,109.1366667,1.0172109
1905,1,23.97166667,225.3484738,90.81833333,1.233024525
1906,1,23.74166667,207.0061045,97.63333333,1.10602005
1907,1,23.93666667,160.9912558,91.49666667,1.073954323
1908,1,24.145,132.940194,114.115,1.070795402
1909,1,24.49333333,186.9158808,120.805,1.095087334
1910,1,23.685,152.6117821,107.775,1.162774802
1911,1,24.39666667,133.9421352,92.59333333,1.073171826
1912,1,24.00166667,164.5735573,102.52,1.195016963
1913,1,23.725,109.3601184,114.125,1.338873842
1914,1,24,125.5036606,85.44166667,1.03829446
1915,1,24.06833333,186.0408836,135.79,1.183630603
1916,1,23.86,164.6688245,124.3966667,1.270766846
1917,1,23.59833333,158.2021627,105.315,1.332968807
1918,1,23.63166667,138.021068,104.455,1.159721066
1919,1,24.02333333,182.9471086,114.8816667,1.204192241
1920,1,23.97833333,129.8717169,103.105,1.054191536
1921,1,24.21333333,150.3496486,101.5033333,1.288012356
1922,1,24.49166667,125.8870479,104.5733333,1.230436936
1923,1,24.545,142.8236987,104.185,1.227252293
1924,1,24.36666667,138.8296406,121.1116667,1.329518283
1925,1,24.21,146.226294,114.285,1.144077685
1926,1,24.46833333,142.3391101,125.2766667,1.38601819
1927,1,24.345,160.4590446,114.0533333,1.326764479
1928,1,24.615,140.5060861,108.575,1.23684103
1929,1,24.76,130.8444017,98.94,1.30975928
1930,1,24.79666667,132.6594185,94.69333333,1.112692611
1931,1,24.53,114.4968704,111.4966667,1.292564933
1932,1,24.68,152.9001847,106.8283333,1.242997302
1933,1,25.22166667,164.9209643,116.0833333,1.379516433
1934,1,24.54166667,130.5198531,108.835,1.27062476
1935,1,24.38333333,167.8876092,112.4066667,1.161672281
1936,1,24.975,113.8106551,109.3183333,1.260553477
1937,1,25.055,93.50543584,128.9516667,1.10473881
1938,1,24.48333333,127.4605806,107.2733333,1.205877669
1939,1,24.43166667,123.1724137,106.6433333,1.24324955
1940,1,25.15833333,163.7130914,93.94666667,1.172533373
1941,1,25.30833333,138.1425843,113.4983333,1.204211728
1942,1,25.48666667,143.3802105,103.8016667,1.283573268
1943,1,25.01,155.5640453,104.92,1.298828716
1944,1,25.195,150.6453684,105.7416667,1.384054658
1945,1,25.55166667,134.5514254,89.85833333,1.276634074
1946,1,25.30833333,137.1814411,108.6,1.121817489
1947,1,25.05,111.2304409,98.39166667,1.10399745
1948,1,25.4,122.3151667,110.0883333,1.206377485
1949,1,25.19333333,145.7824614,98.56,1.225876881
1950,1,24.69333333,160.4628864,105.79,1.225112795
1951,1,25.135,142.2780262,106.8133333,1.266648059
