,...1,...2,validName,q5,q5_low,q5_high,q50,q50_low,q50_high,q95,q95_low,q95_high,year,id_cells,ndstcol,dstdoy,nObs,q5_CI,q50_CI,q95_CI,gcode,annualTemp,tempSeas,annualPrec,precSeas,overwinteringStage,voltinism,diurnality,WikiName,OrigSyn,decade,onset,offset,origin,onsetdate,Year,offsetdate,UnusualWarmDaysOnset,UnusualColdDaysOnset,UnusualWarmOnOff,UnusualColdOnOff,UnusualWarmSum,UnusualColdSum,duration,Seas,GDDOnsetSum,GDDOffsetSum,GDDOnOffSum,annualTemp_unscaled,tempSeas_unscaled,annualPrec_unscaled,precSeas_unscaled,UnusualWarmDaysOnset_unscaled,UnusualColdDaysOnset_unscaled,UnusualWarmOnOff_unscaled,UnusualColdOnOff_unscaled,UnusualWarmSum_unscaled,UnusualColdSum_unscaled
1,1,1,Achalarus lyciades,156,NA,NA,185.5,171,190,199,191,205,0.842605874,166,0.754777163,0.26666153,16,249,19,14,Achalarus lyciades.1995.166,0.244219979,-0.008285572,-0.22645388,0.308008459,L,M,D,Achalarus lyciades,"Cecropterus lyciades Geyer, 1832",1990,156,199,12/31/1994,6/5/1995,1995,7/18/1995,-0.654742524,0.020049359,1.239740089,-0.641138474,0.363402218,-0.390994519,43,Summer,449.9306123,701.5786682,1151.50928,147.5463667,9412.739689,942.2494508,0.492056084,0,1,3,0,3,1
2,2,2,Achalarus lyciades,155.3,149,158,163,158,161,173.3,168.3,181,-1.717347901,166,-0.639007591,-0.319891716,15,9,3,12.7,Achalarus lyciades.1954.166,0.168234131,-0.919561553,0.799914401,0.50087206,L,M,D,Achalarus lyciades,"Cecropterus lyciades Geyer, 1832",1950,155,173,12/31/1953,6/4/1954,1954,6/22/1954,-0.654742524,0.020049359,-0.580261735,-0.641138474,-0.875040199,-0.390994519,18,Summer,466.2026027,256.5586712,722.7612739,145.6789745,8383.665345,1148.45212,0.510008529,0,1,0,0,0,1
3,3,3,Acronicta hasta,144.35,135,152.85,212,168,222,232,219,232,-0.968093138,162,0.754777163,0.26666153,18,17.85,54,13,Acronicta hasta.1966.162,-0.598533674,0.890021283,-1.149994516,-0.050810781,P,M,N,Acronicta hasta,"Acronicta furcifera Guen<e9>e, 1852",1960,144,232,12/31/1965,5/24/1966,1966,8/20/1966,-0.654742524,1.290763905,-0.580261735,0.053680226,-0.875040199,0.925210473,88,Summer,204.6304562,1380.746951,1585.377407,126.8352522,10427.16842,756.7053848,0.458655885,0,3,0,1,0,4
4,4,4,Acronicta hasta,146,142,146.2,178,166,181,211.9,207.1,221,-0.905655241,162,0.754777163,0.853214777,23,4.2,15,13.9,Acronicta hasta.1967.162,-0.726575778,0.390453351,-0.758065835,0.536674326,P,M,N,Acronicta hasta,"Acronicta furcifera Guen<e9>e, 1852",1960,146,211,12/31/1966,5/26/1967,1967,7/30/1967,0.47099813,-0.615307914,-0.580261735,2.138136325,-0.049411921,0.925210473,65,Summer,302.7803738,996.8063626,1299.586736,123.6885501,9863.022594,835.4458735,0.513341134,2,0,0,4,2,4
5,5,5,Acronicta impressa,170.55,137,198,210,198,226,231.45,224.4,232,-1.342720519,162,-0.639007591,0.032040232,12,61,28,7.6,Acronicta impressa.1960.162,-0.642623163,1.080184323,-1.288359646,-0.150305972,P,M,N,Acronicta impressa,Acronicta fasciata,1960,170,231,12/31/1959,6/18/1960,1960,8/18/1960,0.47099813,-0.615307914,-0.580261735,0.053680226,-0.049411921,-0.390994519,61,Summer,584.0029313,934.9408047,1518.943736,125.7517298,10641.91336,728.907118,0.449394511,2,0,0,1,2,1
6,6,6,Acronicta impressa,128,NA,NA,205,128,205,219.4,209.2,226,-0.905655241,162,-0.639007591,-0.085270418,13,249,77,16.8,Acronicta impressa.1967.162,-0.726575778,0.390453351,-0.758065835,0.536674326,P,M,N,Acronicta impressa,Acronicta fasciata,1960,128,219,12/31/1966,5/8/1967,1967,8/7/1967,0.47099813,0.655406632,-0.580261735,2.138136325,-0.049411921,1.802680468,91,Summer,199.1195951,1224.413737,1423.533333,123.6885501,9863.022594,835.4458735,0.513341134,2,2,0,4,2,6
7,7,7,Acronicta interrupta,146,NA,NA,208,148,216,224,221.2,228,-0.905655241,162,0.290182245,0.38397218,17,249,68,6.8,Acronicta interrupta.1967.162,-0.726575778,0.390453351,-0.758065835,0.536674326,P,M,N,Acronicta interrupta,Acronicta occidentalis,1960,146,224,12/31/1966,5/26/1967,1967,8/12/1967,0.47099813,-0.615307914,-0.580261735,2.832955025,-0.049411921,1.36394547,78,Summer,302.7803738,1192.084275,1494.864649,123.6885501,9863.022594,835.4458735,0.513341134,2,0,0,5,2,5
8,8,8,Acronicta interrupta,151.7,111,185,199.5,192,206.5,208.45,207,209,-1.53003421,162,-0.406710132,-0.202581067,12,74,14.5,2,Acronicta interrupta.1957.162,-0.469689767,0.314269807,-0.667198985,-0.833459024,P,M,N,Acronicta interrupta,Acronicta occidentalis,1950,151,208,12/31/1956,5/31/1957,1957,7/27/1957,0.47099813,-0.615307914,-0.580261735,-0.641138474,-0.049411921,-0.829729516,57,Summer,410.9211839,903.7625231,1314.683707,130.001659,9776.990994,853.7014912,0.385804142,2,0,0,0,2,0
9,9,9,Aglais milberti,96,NA,NA,163,110,183.5,227.7,181.85,242,-1.904661592,162,-0.639007591,-0.085270418,12,249,73.5,60.15,Aglais milberti.1951.162,-0.679172822,0.584956175,-0.508714909,-2.065988121,A,M,D,Aglais milberti,Vanessa milberti,1950,96,227,12/31/1950,4/6/1951,1951,8/15/1951,-0.654742524,-0.615307914,0.633072815,0.053680226,-0.049411921,-0.390994519,131,Spring,23.81617367,1520.625971,1544.442145,124.8535027,10082.66831,885.5417577,0.271075854,0,0,2,1,2,1
10,10,10,Aglais milberti,81.2,68,138.2,248,90,248,271.4,248,296,-1.342720519,162,-0.174412673,-0.319891716,13,70.2,158,48,Aglais milberti.1960.162,-0.642623163,1.080184323,-1.288359646,-0.150305972,A,M,D,Aglais milberti,Vanessa milberti,1960,81,271,12/31/1959,3/21/1960,1960,9/27/1960,-0.654742524,-0.615307914,0.633072815,0.748498926,-0.049411921,0.047740478,190,Spring,0,2189.666383,2189.666383,125.7517298,10641.91336,728.907118,0.449394511,0,0,2,2,2,2
11,11,11,Aglossa cuprina,150.4,142,170,174,142,174,194.6,174,203,2.028925915,127,-0.639007591,-0.671823664,7,28,32,29,Aglossa cuprina.2014.127,0.753380808,-0.646357563,1.044077052,-2.211400503,L,U,N,Aglossa cuprina,"Pyralis cuprina Zeller, 1872",2010,150,194,12/31/2013,5/30/2014,2014,7/13/2014,-0.654742524,-0.615307914,-0.580261735,-0.641138474,-0.875040199,-0.829729516,44,Summer,600.9261006,771.0742277,1372.000328,160.059262,8692.18573,1197.505653,0.257540341,0,0,0,0,0,0
12,12,12,Aglossa cuprina,175,169,175,182.5,177,190,203.65,190,223,0.343102698,163,0.290182245,-0.319891716,22,6,13,33,Aglossa cuprina.1987.163,-0.089433055,0.171930403,-0.771703652,0.047926747,L,U,N,Aglossa cuprina,"Pyralis cuprina Zeller, 1872",1980,175,203,12/31/1986,6/24/1987,1987,7/22/1987,-0.091872197,-0.615307914,0.633072815,0.053680226,0.363402218,-0.390994519,28,Summer,778.3782287,514.7466032,1293.124832,139.3466678,9616.251731,832.705966,0.467846733,1,0,2,1,3,1
13,13,13,Aglossa cuprina,189.85,175,202,224,209.5,231,251.85,231,259,1.466984843,147,0.057884786,-0.554513015,12,27,21.5,28,Aglossa cuprina.2005.147,1.355213032,0.368254889,0.306991312,0.280252806,L,U,N,Aglossa cuprina,"Pyralis cuprina Zeller, 1872",2000,189,251,12/31/2004,7/8/2005,2005,9/8/2005,-0.091872197,-0.615307914,0.633072815,-0.641138474,0.363402218,-0.829729516,62,Summer,951.2607827,1257.384499,2208.645282,174.8496056,9837.954592,1049.421335,0.489472487,1,0,2,0,3,0
14,14,14,Aglossa cuprina,172.75,171,178,186,174.5,203.5,209.5,189,215,0.592854286,163,-0.639007591,-0.554513015,6,7,29,26,Aglossa cuprina.1991.163,0.058377969,0.559173559,-1.374815547,-1.176187874,L,U,N,Aglossa cuprina,"Pyralis cuprina Zeller, 1872",1990,172,209,12/31/1990,6/21/1991,1991,7/28/1991,3.285349764,-0.615307914,-0.580261735,-0.641138474,2.014658775,-0.829729516,37,Summer,812.8219488,689.4768976,1502.298846,142.9792015,10053.55284,711.5376826,0.353901695,7,0,0,0,7,0
15,18,18,Agonopterix pulvipennella,26,NA,NA,103,26,103,123,103,123,-0.843217344,162,0.057884786,-0.554513015,26,249,77,20,Agonopterix pulvipennella.1968.162,-0.457245672,0.760163928,-0.762299188,-0.216438339,A,U,N,Agonopterix pulvipennella,"Depressaria pulvipennella Clemens, 1864",1960,26,123,12/31/1967,1/26/1968,1968,5/2/1968,-0.091872197,0.020049359,1.239740089,0.053680226,0.776216358,0.047740478,97,Spring,4.022594384,215.0513187,219.0739131,130.3074792,10280.52473,834.5953712,0.44323867,1,1,3,1,4,2
16,22,23,Amphipyra pyramidoides,205,204,209,223,204,224,241.6,221,246,-0.905655241,162,-0.406710132,-0.671823664,5,5,20,25,Amphipyra pyramidoides.1967.162,-0.726575778,0.390453351,-0.758065835,0.536674326,E,U,N,NA,NA,1960,205,241,12/31/1966,7/24/1967,1967,8/29/1967,-0.654742524,1.290763905,-0.580261735,0.053680226,-0.875040199,0.925210473,36,Summer,908.8446603,546.8308437,1455.675504,123.6885501,9863.022594,835.4458735,0.513341134,0,3,0,1,0,4
17,25,26,Amphipyra pyramidoides,231.4,231,233,233,231,233,257.2,233,263,-0.968093138,162,-0.639007591,-0.789134314,5,2,2,30,Amphipyra pyramidoides.1966.162,-0.598533674,0.890021283,-1.149994516,-0.050810781,E,U,N,NA,NA,1960,231,257,12/31/1965,8/19/1966,1966,9/14/1966,-0.654742524,-0.615307914,-0.580261735,-0.641138474,-0.875040199,-0.829729516,26,Summer,1045.388485,390.8176378,1436.206123,126.8352522,10427.16842,756.7053848,0.458655885,0,0,0,0,0,0
18,27,28,Anagrapha falcifera,131.75,122,135,155,140,193,267,210.25,282,-0.968093138,162,0.057884786,0.26666153,16,13,53,71.75,Anagrapha falcifera.1966.162,-0.598533674,0.890021283,-1.149994516,-0.050810781,P,M,N,Anagrapha falcifera,Plusia falcifera,1960,131,267,12/31/1965,5/11/1966,1966,9/24/1966,-0.654742524,0.655406632,-0.580261735,1.443317626,-0.875040199,1.36394547,136,Summer,139.7570424,1920.350571,2060.107613,126.8352522,10427.16842,756.7053848,0.458655885,0,2,0,3,0,5
19,28,29,Anagrapha falcifera,154.15,151,167.45,249.5,168.5,263,280.85,263,293,0.155789007,178,-0.639007591,-0.202581067,10,16.45,94.5,30,Anagrapha falcifera.1984.178,-1.041893718,2.516514252,-1.000727249,3.213167592,P,M,N,Anagrapha falcifera,Plusia falcifera,1980,154,280,12/31/1983,6/2/1984,1984,10/6/1984,-0.654742524,-0.615307914,-0.580261735,1.443317626,-0.875040199,0.486475476,126,Summer,352.6859008,1768.615294,2121.301195,115.9394458,12263.91406,786.6939467,0.762478855,0,0,0,3,0,3
20,29,30,Anagrapha falcifera,177.35,176,179,193.5,179.5,222,227.55,209.85,228,-1.342720519,162,-0.639007591,-0.085270418,10,3,42.5,18.15,Anagrapha falcifera.1960.162,-0.642623163,1.080184323,-1.288359646,-0.150305972,P,M,N,Anagrapha falcifera,Plusia falcifera,1960,177,227,12/31/1959,6/25/1960,1960,8/14/1960,-0.654742524,-0.615307914,-0.580261735,-0.641138474,-0.875040199,-0.829729516,50,Summer,609.0011653,788.1237087,1397.124874,125.7517298,10641.91336,728.907118,0.449394511,0,0,0,0,0,0
21,30,31,Ancyloxypha numitor,163.1,161,164,215,174,228,242,233,263,0.90504377,166,0.987074622,0.853214777,23,3,54,30,Ancyloxypha numitor.1996.166,-0.06093192,-0.572831921,2.326126449,-0.839068292,L,M,D,NA,NA,1990,163,242,12/31/1995,6/11/1996,1996,8/29/1996,0.47099813,0.655406632,-0.580261735,-0.641138474,-0.049411921,0.047740478,79,Summer,537.3129016,1301.829578,1839.14248,140.0470982,8775.215848,1455.075974,0.385282011,2,2,0,0,2,2
22,31,32,Ancyloxypha numitor,158.7,156,164.5,184,170,214,238.6,231.3,261,0.842605874,166,1.916264457,2.378253219,55,8.5,44,29.7,Ancyloxypha numitor.1995.166,0.244219979,-0.008285572,-0.22645388,0.308008459,L,M,D,NA,NA,1990,158,238,12/31/1994,6/7/1995,1995,8/26/1995,-0.654742524,-0.615307914,1.239740089,-0.641138474,0.363402218,-0.829729516,80,Summer,477.9432777,1390.713334,1868.656612,147.5463667,9412.739689,942.2494508,0.492056084,0,0,3,0,3,0
23,32,33,Ancyloxypha numitor,156.25,153,162.25,174.5,167,202,246,215,257,1.092357461,166,0.987074622,1.205146725,26,9.25,35,42,Ancyloxypha numitor.1999.166,0.535212214,-0.530074919,0.701739145,1.211555032,L,M,D,NA,NA,1990,156,246,12/31/1998,6/5/1999,1999,9/3/1999,-0.091872197,-0.615307914,3.059741914,-0.641138474,2.014658775,-0.829729516,90,Summer,498.8620124,1574.263518,2073.12553,154.697654,8823.499941,1128.728206,0.576161483,1,0,6,0,7,0
24,33,34,Ancyloxypha numitor,159,NA,NA,223,176,224,235.3,224.15,237,0.467978492,145,-0.174412673,-0.202581067,18,249,48,12.85,Ancyloxypha numitor.1989.145,0.280531185,0.342629543,0.345885518,-0.450814801,L,M,D,NA,NA,1980,159,235,12/31/1988,6/8/1989,1989,8/23/1989,-0.654742524,0.020049359,0.633072815,0.748498926,-0.049411921,0.486475476,76,Summer,517.6659184,1309.749055,1827.414973,148.4387337,9809.016722,1057.235381,0.421422057,0,1,2,2,2,3
25,34,35,Ancyloxypha numitor,157,NA,NA,208.5,201,212,226,213.95,226,-1.405158416,162,-0.406710132,-0.202581067,18,249,11,12.05,Ancyloxypha numitor.1959.162,-0.371477417,1.650902902,-0.472846175,-1.444955764,L,M,D,NA,NA,1950,157,226,12/31/1958,6/6/1959,1959,8/14/1959,-0.654742524,-0.615307914,0.02640554,-0.641138474,-0.46222606,-0.829729516,69,Summer,527.8878794,1141.967109,1669.854988,132.4152792,11286.4073,892.747971,0.328883803,0,0,1,0,1,0
