"","...1","...2","...3","validName","q5","q5_low","q5_high","q50","q50_low","q50_high","q95","q95_low","q95_high","year","id_cells","ndstcol","dstdoy","nObs","q5_CI","q50_CI","q95_CI","gcode","annualTemp","tempSeas","annualPrec","precSeas","overwinteringStage","voltinism","diurnality","WikiName","OrigSyn","decade","onset","offset","origin","onsetdate","offsetdate","UnusualWarmDaysOnset","UnusualColdDaysOnset","UnusualWarmOnOff","UnusualColdOnOff","UnusualWarmSum","UnusualColdSum","duration","Seas","GDDOnsetSum","GDDOffsetSum","GDDOnOffSum","annualTemp_unscaled","tempSeas_unscaled","annualPrec_unscaled","precSeas_unscaled","UnusualWarmDaysOnset_unscaled","UnusualColdDaysOnset_unscaled","UnusualWarmOnOff_unscaled","UnusualColdOnOff_unscaled","UnusualWarmSum_unscaled","UnusualColdSum_unscaled","year2","accum_GDD","accum_GDD_sc"
"1",15,18,18,"Agonopterix pulvipennella",26,NA,NA,103,26,103,123,103,123,-0.843217344,162,0.057884786,-0.554513015,26,249,77,20,"Agonopterix pulvipennella.1968.162",-0.457245672,0.760163928,-0.762299188,-0.216438339,"A","U","N","Agonopterix pulvipennella","Depressaria pulvipennella Clemens, 1864",1960,26,123,"12/31/1967","1/26/1968","5/2/1968",-0.091872197,0.020049359,1.239740089,0.053680226,0.776216358,0.047740478,97,"Spring",4.022594384,215.0513187,219.0739131,130.3074792,10280.52473,834.5953712,0.44323867,1,1,3,1,4,2,1968,859.969183,-0.317526666495466
"2",166,179,180,"Catocala micronympha",36,NA,NA,79.5,36,116,119.65,97.8,120,1.52942274,60,-0.639007591,-0.554513015,8,249,80,22.2,"Catocala micronympha.2006.60",4.801087026,-4.855826308,0.484020282,2.563387528,"E","U","N","Catocala micronympha","Ephesia micronympha",2000,36,119,"12/31/2005","2/5/2006","4/29/2006",-0.654742524,-0.615307914,0.02640554,1.443317626,-0.46222606,0.486475476,83,"Summer",641.5962603,1170.867239,1812.4635,259.5337723,3938.569508,1084.987366,0.701994965,0,0,1,3,1,3,2006,1880.128242,5.31063328427172
"3",96,109,110,"Catocala andromedae",39.5,5,120,120,5,5,166,120,166,1.52942274,60,-0.639007591,-0.789134314,7,115,0,46,"Catocala andromedae.2006.60",4.801087026,-4.855826308,0.484020282,2.563387528,"E","U","N","Catocala andromedae","Hypogramma andromedae Guen<e9>e, 1852",2000,39,166,"12/31/2005","2/8/2006","6/15/2006",-0.654742524,-0.615307914,0.02640554,1.443317626,-0.46222606,0.486475476,127,"Summer",629.1686596,2088.283163,2717.451823,259.5337723,3938.569508,1084.987366,0.701994965,0,0,1,3,1,3,2006,1880.128242,5.31063328427172
"4",241,256,257,"Catocala similis",45.25,5,120,124.5,64.5,145.5,167.3,125,168,1.52942274,60,-0.639007591,-0.554513015,8,115,81,43,"Catocala similis.2006.60",4.801087026,-4.855826308,0.484020282,2.563387528,"E","U","N","Catocala similis","Ephesia similis",2000,45,167,"12/31/2005","2/14/2006","6/16/2006",-0.654742524,0.020049359,0.02640554,1.443317626,-0.46222606,0.925210473,122,"Summer",606.1644798,2069.637219,2675.801699,259.5337723,3938.569508,1084.987366,0.701994965,0,1,1,3,1,4,2006,1880.128242,5.31063328427172
"5",309,324,325,"Colias eurytheme",53,NA,NA,84.5,60,96,157,136.75,161,1.154795358,86,1.21937208,0.149350881,26,249,36,24.25,"Colias eurytheme.2000.86",3.089000374,-0.50813574,0.647137114,2.756878705,"P","M","D",NA,NA,2000,53,157,"12/31/1999","2/22/2000","6/5/2000",-0.091872197,-0.615307914,0.633072815,-0.641138474,0.363402218,-0.829729516,104,"Summer",217.2966523,1359.39693,1576.693582,217.4583419,8848.275142,1117.758377,0.720005827,1,0,2,0,3,0,2000,1569.704046,3.59804051526872
"6",435,455,460,"Euptoieta claudia",53,NA,NA,151.5,123,160,173.25,161.6,178,1.154795358,86,0.057884786,0.26666153,20,249,37,16.4,"Euptoieta claudia.2000.86",3.089000374,-0.50813574,0.647137114,2.756878705,"A","M","D",NA,NA,2000,53,173,"12/31/1999","2/22/2000","6/21/2000",-0.091872197,-0.615307914,0.633072815,0.748498926,0.363402218,0.047740478,120,"Summer",217.2966523,1680.926497,1898.223149,217.4583419,8848.275142,1117.758377,0.720005827,1,0,2,2,3,2,2000,1569.704046,3.59804051526872
"7",208,222,223,"Catocala palaeogama",55,NA,NA,222,55,226,239,235.15,242.15,-0.156400477,166,-0.174412673,0.618593478,52,249,171,7,"Catocala palaeogama.1979.166",0.001483224,-0.175810744,1.454394287,0.390024111,"E","U","N","Catocala palaeogama","Catabapta paleogama",1970,55,239,"12/31/1978","2/24/1979","8/27/1979",-0.091872197,5.102907544,1.239740089,6.307048524,0.776216358,7.506235433,184,"Fall",7.009104074,1836.975022,1843.984126,141.5809832,9223.558958,1279.940497,0.499690399,1,9,3,10,4,19,1979,876.2074296,-0.227941176489244
"8",62,73,74,"Callophrys niphon",56,40,120,134,40,134,142,120,144,-0.968093138,185,-0.639007591,-0.789134314,5,80,94,24,"Callophrys niphon.1966.185",-0.873266493,0.351665593,-0.561404708,-1.67364446,"P","U","D","Callophrys niphon","Licus niphon H<fc>bner, 1823",1960,56,142,"12/31/1965","2/25/1966","5/22/1966",1.033868457,0.020049359,-0.580261735,2.138136325,0.363402218,1.36394547,86,"Spring",4.642896865,117.781202,122.4240988,120.0835486,9819.220839,874.956106,0.307596628,3,1,0,4,3,5,1966,655.7804328,-1.44402447694411
"9",369,389,393,"Epimecis hortaria",71.45,40,77,120.5,95,156,200,156.45,200,1.092357461,86,-0.406710132,0.149350881,18,37,61,43.55,"Epimecis hortaria.1999.86",3.36653575,-1.945292457,1.257166641,2.314076399,"L","M","N",NA,NA,1990,71,200,"12/31/1998","3/12/1999","7/19/1999",1.596738783,-0.615307914,-0.580261735,0.053680226,0.776216358,-0.390994519,129,"Spring",363.9615643,2104.641326,2468.602891,224.2789198,7225.340778,1240.316448,0.678788179,4,0,0,1,4,1,1999,1591.844419,3.72018770350797
"10",391,411,416,"Erynnis juvenalis",74.85,71,82,95,91,104,110.25,104,113,-0.593465756,86,0.290182245,-0.085270418,12,11,13,9,"Erynnis juvenalis.1972.86",3.018871182,-1.474663501,2.244284433,-0.298593768,"L","U","D",NA,NA,1970,74,110,"12/31/1971","3/14/1972","4/19/1972",0.47099813,0.020049359,1.239740089,-0.641138474,1.189030497,-0.390994519,36,"Spring",286.7039763,386.8050827,673.509059,215.7348801,7756.806759,1438.633492,0.435591344,2,1,3,0,5,1,1972,1491.046843,3.16409316572706
