"search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches"
"achalarus lyciades","Cecropterus lyciades",FALSE,3064924,TRUE,"",1
"acronicta insita","Acronicta insita",FALSE,3204427,FALSE,"sibling_higher",1
"acronicta hasta","Acronicta hasta",FALSE,84647,FALSE,"sibling_higher",1
"acronicta impressa","Acronicta impressa",FALSE,554107,FALSE,"sibling_higher",1
"acronicta interrupta","Acronicta interrupta",FALSE,776669,FALSE,"sibling_higher",1
"agathymus stephensi","Agathymus stephensi",FALSE,3063723,FALSE,"",1
"aglais milberti","Aglais milberti",FALSE,803104,FALSE,"",1
"aglossa cuprina","Aglossa cuprina",FALSE,1036998,FALSE,"",1
"agonopterix pulvipennella","Agonopterix pulvipennella",FALSE,311513,FALSE,"",1
"dione moneta","Dione moneta",FALSE,291526,FALSE,"",1
"agrotis ipsilon","Agrotis ipsilon",FALSE,1084707,FALSE,"",1
"feltia subterranea","Agrotis subterranea",FALSE,1006359,TRUE,"",1
"alcis porcelaria","Protoboarmia porcelaria",FALSE,738964,TRUE,"",1
"amphipyra pyramidoides","Amphipyra pyramidoides",FALSE,388393,FALSE,"",1
"anacamptodes vellivolata","Iridopsis vellivolata",FALSE,554120,TRUE,"",1
"anagrapha falcifera","Anagrapha falcifera",FALSE,140846,FALSE,"",1
"ancyloxypha numitor","Ancyloxypha numitor",FALSE,328398,FALSE,"",1
"antaeotricha schlaegeri","Antaeotricha schlaegeri",FALSE,343046,FALSE,"",1
"anthocharis cethura","Anthocharis cethura",FALSE,3134547,FALSE,"",1
"anthocharis midea","Anthocharis midea",FALSE,451930,FALSE,"",1
"anthocharis sara","Anthocharis sara",FALSE,765635,FALSE,"",1
"apamea sordens","Apamea sordens",FALSE,366744,FALSE,"sibling_higher",1
"apantesis phalerata","Apantesis phalerata",FALSE,890262,FALSE,"",1
"arctia caja","Arctia caja",FALSE,353234,FALSE,"",1
"asterocampa clyton","Asterocampa clyton",FALSE,184399,FALSE,"",1
"autographa californica","Autographa californica",FALSE,1085762,FALSE,"",1
