scientific_name,overwinteringStage,voltinism,diurnality,notes.x,onsetProblems,offsetProblems,overwintering.stage.y,voltinism.y,notes.y,WikiName,OrigSyn,Syn,validName
Lycaena heteronea,E,U,D,NA,NA,NA,NA,NA,NA,Lycaena heteronea,"Chalceria cupreus Dyar, 1903",Chalceria,Lycaena heteronea
Lycaena heteronea,E,U,D,NA,NA,NA,NA,NA,NA,Lycaena heteronea,Lycaena cupreus,Lycaena cupreus,Lycaena heteronea
Lycaena heteronea,E,U,D,NA,NA,NA,NA,NA,NA,Lycaena heteronea,"Lycaena coloradensis Gunder, 1925",Lycaena coloradensis,Lycaena heteronea
Lycaena heteronea,E,U,D,NA,NA,NA,NA,NA,NA,Lycaena heteronea,"Lycaena gravenotata Klots, 1930",Lycaena gravenotata,Lycaena heteronea
Vanessa virginiensis,A,M,D,,N,,A,M,,Vanessa virginiensis,"Nymphalis cardui virginiensis Drury, 1773",Nymphalis cardui,Vanessa virginiensis
Vanessa virginiensis,A,M,D,,N,,A,M,,Vanessa virginiensis," Papilio huntera Fabricius, 1775",Papilio huntera,Vanessa virginiensis
Catocala crataegi,E,U,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Catocala crataegi
Colias interior,L,U,D,NA,NA,NA,L,U,,NA,NA,NA,Colias interior
Glaucopsyche lygdamus,P,U,D,NA,NA,NA,P,U,,NA,NA,NA,Glaucopsyche lygdamus
Lithophane antennata,A,M,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lithophane antennata
Catocala irene,E,U,N,NA,NA,NA,NA,NA,NA,Catocala irene,"Catocala volumnia H. Edwards, 1880",Catocala volumnia,Catocala irene
Catocala irene,E,U,N,NA,NA,NA,NA,NA,NA,Catocala irene,"Catocala virgilia  H. Edwards, 1880",Catocala virgilia,Catocala irene
Catocala irene,E,U,N,NA,NA,NA,NA,NA,NA,Catocala irene,"Catocala irene var. valeria H. Edwards, 1880",Catocala irene valeria,Catocala irene
Euphydryas editha,L,U,D,NA,NA,NA,L,U,D,NA,NA,NA,Euphydryas editha
Asterocampa clyton,L,F,D,NA,NA,NA,L,F,D,NA,NA,NA,Asterocampa clyton
Erynnis juvenalis,L,U,D,NA,NA,NA,L,U,D,NA,NA,NA,Erynnis juvenalis
Catocala concumbens,E,U,N,NA,NA,NA,NA,NA,NA,Catocala concumbens,"Catocala diana Edwards, 1880",Catocala diana,Catocala concumbens
Poanes zabulon,L,M,D,,low latitude problems,,L,M,,Lon zabulon,Hesperia zabulon,Hesperia zabulon,Lon zabulon
Poanes zabulon,L,M,D,,low latitude problems,,L,M,,Lon zabulon,Pamphila zabulon,Pamphila zabulon,Lon zabulon
